university,year,country,region,institution_type,faculty_count
Texas A&M University Health Science Center,2022,USA,North America,Medical School,26
University of Nebraska Omaha,2022,USA,North America,Regional,9
Old Dominion University,2022,USA,North America,Regional,50
Hong Kong Polytechnic University,2022,Hong Kong,Asia,R1 Research,21
University of Silesia,2022,Poland,Europe,R1 Research,24
University of Aveiro,2022,Portugal,Europe,R1 Research,4
University of British Columbia,2022,Canada,North America,R1 Research,25
Northeastern University,2022,USA,North America,R1 Research,57
Columbia University,2022,USA,North America,R1 Research,19
Lahore College for Women University,2022,Pakistan,Asia,Regional,3
University of Colombo,2022,Sri Lanka,Asia,Regional,9
Gazi University,2022,Turkey,Europe,Regional,32
Rochester Institute of Technology,2022,USA,North America,R1 Research,22
University of Michigan,2022,USA,North America,R1 Research,16
UC Riverside,2022,USA,North America,R1 Research,5
New Mexico Tech,2022,USA,North America,Regional,3
University of Stuttgart,2022,Germany,Europe,R1 Research,119
Universitat Oberta de Catalunya,2022,Spain,Europe,Regional,3
University of British Columbia CS,2022,Canada,North America,R1 Research,25
Columbia Applied Physics,2022,USA,North America,R1 Research,19
Universiti Tunku Abdul Rahman,2023,Malaysia,Asia,International,14
Walailak University,2023,Thailand,Asia,International,5
Torrens University,2023,Australia,Asia,International,6
Rochester Institute of Technology,2023,USA,North America,R1 Research,25
Western Michigan University,2023,USA,North America,Medical School,9
Hong Kong Polytechnic University,2023,Hong Kong,Asia,R1 Research,34
University of Nottingham Ningbo,2023,China,Asia,International,21
EDHEC Business School,2023,France,Europe,Business School,4
Lund University IIIEE,2023,Sweden,Europe,R1 Research,5
London School of Economics,2023,UK,Europe,R1 Research,12
York University Lassonde,2023,Canada,North America,R1 Research,25
University of Colombo,2023,Sri Lanka,Asia,Regional,8
University of Connecticut,2023,USA,North America,R1 Research,4
Kean University,2023,USA,North America,Regional,2
Thammasat University,2023,Thailand,Asia,International,14
Bina Nusantara University,2023,Indonesia,Asia,International,3
University of Technology Sydney,2023,Australia,Asia,R1 Research,3
AMBER Centre,2023,Ireland,Europe,Research Institute,26
Washington University Brown School,2024,USA,North America,R1 Research,12
College of Staten Island,2024,USA,North America,Regional,5
Texas A&M University-Kingsville,2024,USA,North America,Regional,2
Education University of Hong Kong,2024,Hong Kong,Asia,R1 Research,49
Hong Kong Polytechnic University,2024,Hong Kong,Asia,R1 Research,40
Nanyang Technological University CCDS,2024,Singapore,Asia,R1 Research,38
NTU Civil Engineering,2024,Singapore,Asia,R1 Research,30
NTU Materials Science,2024,Singapore,Asia,R1 Research,26
Lovely Professional University,2024,India,Asia,International,34
USTM,2024,India,Asia,Regional,1
Trinity College Dublin,2024,Ireland,Europe,R1 Research,17
Texas Tech Health Sciences,2024,USA,North America,Medical School,15
University of Rhode Island,2024,USA,North America,R1 Research,24
Taylor's University,2024,Malaysia,Asia,International,5
Chinese University Hong Kong,2024,Hong Kong,Asia,R1 Research,84
Binghamton University,2024,USA,North America,R1 Research,33
Kean University,2024,USA,North America,Regional,2
